"SRO ID", "@when", "@notBefore", "@notAfter", "Date"
"SRO1", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO1a", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2a", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2b", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2c", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2d", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4h", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4i", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5h", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO7", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO7a", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO8", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO9", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO10", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO11", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO12", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO13", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO14", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO15", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO16", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO17", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO18", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO19", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO20", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO21", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO22", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO23", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO24", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO25", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO26", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO27", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO28", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO29", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO30", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO31", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO32", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO33", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO34", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO35", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO36", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO36a", "1559-08-06", "", "", "vjth of auguste 1559"
"SRO37", "1559-10-12", "", "", "xij of octobre 1559"
"SRO38", "1559-11-06", "", "", "vj of novembre 1559"
"SRO38a", "1559-11-06", "", "", "vjth of novembre 1559"
